,Zona,Finca,Peso,Diámetro Sutural,Diámetro Contrasutural
1136,2.0,40901,190,70,74
1137,3.0,303,165,64.4,68.8
1138,3.0,1601,150,65.4,66.6
1139,3.0,1301,160,62,69
1140,2.0,40901,165,70,70
1141,3.0,401,183,69.2,70.3
1142,2.0,40801,30,50,51
1143,2.0,40901,175,68,70
1144,2.0,40901,200,72,75
1145,3.0,303,157,66.9,68.1
1146,3.0,1601,110,59,60.5
1147,3.0,1601,125,60,64.5
1148,3.0,1601,125,61.5,63.3
1149,3.0,201,164,69.9,68.3
1150,2.0,40801,30,49,49
1151,3.0,1901,90,54.4,54.7
1152,2.0,40901,140,66,66
1153,2.0,40901,160,68,70
1154,2.0,40901,195,70,72
1155,3.0,401,122,60.5,62.2
1156,2.0,40901,135,65,65
1157,3.0,1101,240,76.6,77.9
1158,3.0,801,120,61,63
1159,2.0,40801,20,50,48
1160,2.0,40801,100,61,59
1161,3.0,1901,105,58,58
1162,3.0,1201,170,70.7,70.9
1163,3.0,1701,50,54,56.7
1164,3.0,201,167,69.2,69.2
1165,3.0,801,135,65,65
1166,2.0,40801,30,52,52
1167,3.0,1901,100,56,58.9
1168,2.0,40901,160,66,68
1169,2.0,40801,30,53,55
1170,3.0,201,160,65.8,66.4
1171,3.0,901,115,58,61
1172,3.0,601,112,58.3,57.5
1173,3.0,801,135,65,70
1174,3.0,501,173,70.3,70.3
1175,3.0,1701,50,47.7,46.4
1176,3.0,1801,145,63.8,67
1177,3.0,1701,55,48,49
1178,3.0,1502,153,57,59
1179,3.0,501,181,66.4,70.3
1180,3.0,1701,110,59,59.5
1181,3.0,601,119,60.3,58.1
1182,3.0,201,129,63.1,62.4
1183,3.0,1801,125,64.5,62.5
1184,3.0,1801,220,76,80
1185,2.0,40801,100,58,57
1186,3.0,101,105,57.5,57.7
