,Zona,Finca,Peso,Diámetro Sutural,Diámetro Contrasutural
509,1.0,102,135,64.7,63.8
510,1.0,102,170,68,69.7
511,1.0,102,136,64,62.1
512,1.0,1502,119,63,61
513,1.0,102,148,65.4,64.3
514,1.0,1502,122,62,61
515,1.0,1502,128,62,62
516,1.0,301,93,55,57
517,1.0,1502,101,58,60
518,1.0,1502,128,63,61
519,1.0,102,175,69.2,69.1
520,1.0,902,169,69.8,69.2
521,1.0,1502,103,62,60
522,1.0,902,136,64.3,62.7
523,1.0,1502,128,64,66
524,1.0,1002,193,72.3,73.4
525,1.0,301,127,58,63
526,1.0,102,98,59.1,55.5
527,1.0,1502,117,62,58
528,1.0,301,158,68,69
529,1.0,301,140,63,66
530,1.0,301,117,59,61
531,1.0,102,113,60.4,60.1
532,1.0,102,139,65.7,62.9
533,1.0,1502,136,64,64
534,1.0,1502,120,60,57
535,1.0,1502,145,65,64
536,1.0,1502,129,62,62
537,1.0,301,92,55,53
538,1.0,102,100,58.1,58.4
539,1.0,102,226,74.1,75.9
540,1.0,1002,173,69.3,72.1
541,1.0,301,92,54,57
542,1.0,301,91,67,63
543,1.0,102,142,65.2,63.9
544,1.0,1502,134,64,66
545,1.0,1502,140,64,67
546,1.0,301,92,57,55
547,1.0,1502,116,62,65
548,1.0,1502,140,66,66
549,1.0,1002,178,71.8,70.1
550,1.0,1502,136,64,65
551,1.0,301,137,65,61
552,1.0,1002,188,71.6,72.1
553,1.0,301,184,68,71
554,1.0,902,184,69.7,71.8
555,1.0,301,106,59,56
556,1.0,301,140,64,67
557,1.0,102,116,61,59.1
558,1.0,102,112,59.7,60.3
559,1.0,102,135,64.1,63
560,1.0,102,112,58,61.1
561,1.0,102,108,60.3,69.1
562,1.0,102,129,63.7,63.6
563,1.0,1502,87,54,53
564,1.0,1502,125,63,63
565,1.0,102,148,65.4,66.1
566,1.0,1502,153,68,69
567,1.0,1502,119,62,58
568,1.0,1502,102,59,55
569,1.0,301,158,65,69
570,1.0,1502,91,56,54
571,1.0,102,144,66.8,65.4
572,1.0,301,101,59,51
573,1.0,1502,150,66,68
574,1.0,1502,180,71,73
575,1.0,1502,122,60,59
576,1.0,301,123,61,62
577,1.0,301,121,62,59
578,1.0,1502,135,65,63
579,1.0,102,96,57.4,56.6
580,1.0,102,136,61.4,63.7
581,1.0,1502,125,66,63
582,1.0,301,176,67,72
583,1.0,301,95,56,57
584,1.0,902,158,68.1,67.2
585,1.0,102,110,60.5,59.4
586,1.0,102,107,58.4,57.5
587,1.0,1002,147,63.1,65
588,1.0,301,94,57,57
589,1.0,301,130,63,64
590,1.0,1502,151,67,66
591,1.0,1502,127,61,63
592,1.0,102,98,56.1,56.2
593,1.0,301,144,64,65
594,1.0,301,98,57,57
595,1.0,1502,100,58,58
596,1.0,301,118,60,59
597,1.0,1502,191,72,74
598,1.0,301,134,62,61
599,1.0,1502,124,63,61
600,1.0,301,122,60,63
601,1.0,301,146,65,66
602,1.0,902,146,64.2,66
603,1.0,1502,111,61,61
604,1.0,1502,127,63,65
605,1.0,1502,77,54,50
606,1.0,1002,218,72.4,76.7
607,3.0,601,118,60.3,58.1
608,2.0,40801,20,54,54
609,3.0,303,160,64.7,64.5
610,3.0,501,202,67.7,74.4
611,3.0,101,122,62.5,60.3
612,2.0,40901,200,72,76
613,3.0,303,134,77,77.7
614,3.0,1032,150,66,70
615,3.0,1401,240,71,68
616,2.0,40901,150,67,68
617,2.0,40801,100,58,58
618,3.0,1701,85,55.8,55.7
619,2.0,40801,20,49,45
620,3.0,1301,220,63,70
621,3.0,801,105,57,60
622,3.0,1301,160,68,63
623,3.0,701,128,59.9,61.4
624,3.0,101,82,54.7,53.6
625,2.0,40801,30,49,49
626,3.0,1901,85,54,54.7
627,2.0,40801,30,54,54
628,3.0,901,135,62,66
629,3.0,1601,125,64.5,62.5
630,3.0,801,115,59,63
631,3.0,1601,130,64,64
632,3.0,201,152,66.5,68.7
633,3.0,901,120,60,64
634,3.0,1502,160,60,65
635,2.0,40901,180,70,73
636,3.0,1101,160,67.9,67.3
637,3.0,501,159,63.3,68.3
638,2.0,40801,100,54,54
639,3.0,601,85,52.2,52.2
640,2.0,40801,30,51,49
641,3.0,1201,150,66.4,69
642,3.0,1032,150,62,70
643,2.0,40801,20,52,49
644,2.0,40801,100,60,59
645,2.0,40901,95,55,58
646,3.0,1032,155,63,68
647,3.0,101,114,61.4,56.9
648,2.0,40801,30,52,50
649,2.0,40901,80,54,53
650,2.0,40801,20,49,50
651,3.0,101,112,59.9,59.2
652,3.0,303,184,69,70
653,3.0,1801,135,65.4,64.4
654,3.0,701,136,63.6,62.2
655,3.0,1301,150,55,58
656,3.0,1601,125,62,63
657,3.0,701,112,59.4,57.7
658,2.0,40801,100,55,56
659,2.0,40901,145,65,68
660,2.0,40801,100,63,63
661,3.0,1801,150,65.4,63.2
662,2.0,40801,100,57,57
663,3.0,1101,200,71.1,73.8
664,3.0,303,184,72.5,68.6
665,3.0,101,97,55.5,56.6
666,3.0,1801,150,65,69.4
667,3.0,1201,150,64.4,67.4
668,3.0,1701,55,50.8,45.8
669,3.0,1201,220,76.2,76.5
670,2.0,40901,215,70,76
671,3.0,1502,150,55,58
672,3.0,1701,60,50,46
673,2.0,40901,125,61,63
674,3.0,1502,150,59,62
675,3.0,303,175,67.6,71.1
676,3.0,1801,125,60.8,61.5
677,2.0,40801,20,47,46
678,3.0,1401,200,65,66
679,2.0,40801,30,53,52
680,2.0,40901,170,67,70
681,3.0,1401,150,59,62
682,3.0,201,149,64.7,66.1
683,3.0,1601,150,65,69.4
684,3.0,1032,110,60,61
685,3.0,1401,150,55,59
686,3.0,401,125,60.3,60.1
687,2.0,40901,145,67,68
688,2.0,40901,200,70,73
689,3.0,1032,145,64,65
690,3.0,1502,150,57,58
691,3.0,1801,85,56,54.4
692,2.0,40901,135,61,63
693,3.0,401,178,69.8,68.1
694,3.0,1401,150,69,63
695,3.0,1901,90,54.6,57
696,3.0,801,110,61,62
697,2.0,40801,30,52,50
698,3.0,401,183,70.1,71.1
699,2.0,40801,20,50,50
700,2.0,40801,30,52,51
701,3.0,201,143,64.2,66.6
702,3.0,1101,180,67.5,71.1
703,3.0,1801,195,68.7,75.3
704,3.0,1901,85,54.5,56
705,3.0,1101,165,66.8,67.3
706,2.0,40801,30,55,54
707,2.0,40901,130,63,64
708,3.0,1901,100,56.7,57.8
709,3.0,1301,150,69,63
710,3.0,101,84,53.8,53.1
711,3.0,1401,150,57,58
712,3.0,1601,90,55.8,55
713,2.0,40801,20,51,51
714,3.0,1401,150,55,58
715,3.0,1101,225,76.3,76.6
716,2.0,40801,30,52,51
717,3.0,901,100,58,59
718,2.0,40901,155,66,69
719,3.0,303,222,74.9,76.1
720,3.0,1502,170,70,64
721,3.0,1801,145,60,69.4
722,3.0,501,215,72.2,74.4
723,3.0,401,171,70.3,68.1
724,2.0,40801,110,59,57
725,2.0,40801,100,57,59
726,3.0,701,148,62.7,63.6
727,2.0,40801,30,52,52
728,3.0,1032,130,64,65
729,2.0,40901,145,68,68
730,3.0,1032,140,61,68
731,2.0,40801,30,54,54
732,3.0,1201,180,70,76.4
733,3.0,1401,160,65,62
734,3.0,1701,110,59,60.5
735,3.0,1601,195,68.7,75.3
736,3.0,501,201,67.2,71.9
737,3.0,1301,160,58,62
738,3.0,1401,200,62,64
739,2.0,40901,150,65,68
740,3.0,1801,140,66,69.3
741,2.0,40901,135,60,64
742,2.0,40801,30,51,50
743,2.0,40901,125,60,64
744,2.0,40801,20,51,49
745,3.0,1301,150,63,60
746,2.0,40801,30,55,57
747,2.0,40901,170,68,76
748,2.0,40801,100,54,52
749,3.0,1502,160,61,62
750,3.0,701,135,61.4,62.2
751,3.0,901,115,62,66
752,2.0,40801,110,61,61
753,3.0,601,110,57.7,57.7
754,2.0,40901,150,66,68
755,2.0,40901,190,69,75
756,2.0,40901,190,71,74
757,3.0,1101,140,65.5,65.3
758,3.0,201,197,69.7,73.8
759,2.0,40901,230,75,78
760,2.0,40901,185,68,74
761,3.0,501,156,64.7,67.2
762,2.0,40801,30,52,53
763,2.0,40901,195,72,73
764,3.0,401,149,63.1,66.5
765,2.0,40901,170,67,71
766,3.0,1502,170,63,69
767,3.0,601,75,50.4,50.3
768,2.0,40901,185,71,74
769,3.0,901,140,67,66
770,2.0,40901,150,64,70
771,2.0,40801,20,55,54
772,2.0,40801,30,54,53
773,3.0,501,131,59.4,63.3
774,3.0,1401,220,63,70
775,3.0,1201,130,66.5,62
776,2.0,40801,100,56,57
777,3.0,401,214,69.2,75.2
778,2.0,40901,165,68,70
779,2.0,40901,120,57,63
780,2.0,40801,100,56,55
781,2.0,40901,200,68,75
782,2.0,40801,100,55,56
783,2.0,40901,190,70,75
784,2.0,40901,125,61,64
785,2.0,40801,30,54,53
786,2.0,40901,190,70,74
787,3.0,1601,125,62.3,64.4
788,3.0,601,103,54.4,58.1
789,3.0,1032,150,65,64
790,2.0,40801,30,54,55
791,2.0,40901,160,67,68
792,3.0,101,108,59.9,59.9
793,2.0,40901,185,68,74
794,3.0,1502,180,58,62
795,3.0,1101,155,66.6,68.5
796,3.0,601,111,57.7,58.1
797,3.0,1201,160,69,67.2
798,3.0,101,103,56.1,58.8
799,3.0,701,146,63.3,64.2
800,2.0,40901,135,63,64
801,3.0,901,130,61,62
802,3.0,1701,95,59.4,56.4
803,2.0,40801,30,54,53
804,3.0,1032,120,64,62
805,2.0,40801,20,39,48
806,3.0,201,148,65.9,66.6
807,2.0,40901,160,65,69
